"fecha","coca_cost.Food","coca_cost.quantity","coca_cost.Demo_Group","coca_cost.Sex","coca_cost.cost_day","coca_cost.Cost_1000kcal","scenario"
2013-01-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 497.1284,487.8086,"hat"
2013-01-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 642.2350,487.8086,"hat"
2013-01-01,Azúcar sulfitada,456.2234,9 a 13 años,1, 883.5223,487.8086,"hat"
2013-01-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1030.7105,487.8086,"hat"
2013-01-01,Azúcar sulfitada,511.7957,19 a 30 años,1, 991.1435,487.8086,"hat"
2013-01-01,Azúcar sulfitada,482.7422,31 a 50 años,1, 934.8785,487.8086,"hat"
2013-01-01,Azúcar sulfitada,438.5859,51 a 70 años,1, 849.3655,487.8086,"hat"
2013-01-01,Azúcar sulfitada,412.3622,>70 años,1, 798.5806,487.8086,"hat"
2013-01-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1229.4714,487.8086,"hat"
2013-01-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1222.8526,487.8086,"hat"
2013-01-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1166.5876,487.8086,"hat"
2013-01-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1244.1056,487.8086,"hat"
2013-01-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1237.4869,487.8086,"hat"
2013-01-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1181.2218,487.8086,"hat"
2013-01-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 541.7669,487.8086,"hat"
2013-01-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 700.6897,487.8086,"hat"
2013-01-01,Azúcar sulfitada,505.4427,9 a 13 años,0, 978.8403,487.8086,"hat"
2013-01-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1339.8799,487.8086,"hat"
2013-01-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1375.3914,487.8086,"hat"
2013-01-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1302.8847,487.8086,"hat"
2013-01-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1059.1109,487.8086,"hat"
2013-01-01,Azúcar sulfitada,510.2502,>70 años,0, 988.1505,487.8086,"hat"
2013-02-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 486.0132,476.9018,"hat"
2013-02-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 627.8754,476.9018,"hat"
2013-02-01,Azúcar sulfitada,456.2234,9 a 13 años,1, 863.7678,476.9018,"hat"
2013-02-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1007.6650,476.9018,"hat"
2013-02-01,Azúcar sulfitada,511.7957,19 a 30 años,1, 968.9828,476.9018,"hat"
2013-02-01,Azúcar sulfitada,482.7422,31 a 50 años,1, 913.9758,476.9018,"hat"
2013-02-01,Azúcar sulfitada,438.5859,51 a 70 años,1, 830.3748,476.9018,"hat"
2013-02-01,Azúcar sulfitada,412.3622,>70 años,1, 780.7254,476.9018,"hat"
2013-02-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1201.9819,476.9018,"hat"
2013-02-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1195.5111,476.9018,"hat"
2013-02-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1140.5041,476.9018,"hat"
2013-02-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1216.2889,476.9018,"hat"
2013-02-01,Azúcar sulfitada,638.9997,lactantes 19 a 30 años,1,1209.8182,476.9018,"hat"
2013-02-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1154.8111,476.9018,"hat"
2013-02-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 529.6537,476.9018,"hat"
2013-02-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 685.0231,476.9018,"hat"
2013-02-01,Azúcar sulfitada,505.4427,9 a 13 años,0, 956.9546,476.9018,"hat"
2013-02-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1309.9218,476.9018,"hat"
2013-02-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1344.6393,476.9018,"hat"
2013-02-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1273.7538,476.9018,"hat"
2013-02-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1035.4305,476.9018,"hat"
2013-02-01,Azúcar sulfitada,510.2502,>70 años,0, 966.0567,476.9018,"hat"
2013-03-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 471.0013,462.1713,"hat"
2013-03-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 608.4817,462.1713,"hat"
2013-03-01,Azúcar sulfitada,456.2234,9 a 13 años,1, 837.0879,462.1713,"hat"
2013-03-01,Azúcar sulfitada,532.2268,14 a 18 años,1, 976.5404,462.1713,"hat"
2013-03-01,Azúcar sulfitada,511.7957,19 a 30 años,1, 939.0530,462.1713,"hat"
2013-03-01,Azúcar sulfitada,482.7422,31 a 50 años,1, 885.7450,462.1713,"hat"
2013-03-01,Azúcar sulfitada,438.5859,51 a 70 años,1, 804.7263,462.1713,"hat"
2013-03-01,Azúcar sulfitada,412.3622,>70 años,1, 756.6104,462.1713,"hat"
2013-03-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1164.8552,462.1713,"hat"
2013-03-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1158.5843,462.1713,"hat"
2013-03-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1105.2764,462.1713,"hat"
